id,xcoord,ycoord
"1",238784.536247706,9061673.15955193
"1",238782.073170713,9061679.91020739
"1",238799.497159814,9061712.7968465
"1",238808.345991975,9061714.11961007
"1",238820.661376942,9061717.03881244
"1",238987.055911603,9063187.31332731
"1",239085.214091041,9063369.30734959
"1",239111.943037672,9063414.28131099
"1",239127.998650666,9063434.16837708
"1",239245.314095608,9063598.00860968
"1",239333.255066777,9063733.93396968
"1",239351.773756764,9063790.03739008
"1",239597.899005951,9063986.99232448
"1",242537.71823511,9065741.5241694
"1",242543.282964614,9065744.07847146
"1",242548.391568748,9065747.72747442
"1",242553.500172882,9065750.46422663
"1",242557.331625983,9065754.7518051
"1",242562.440230117,9065757.67100746
"1",242567.640059325,9065761.13756027
"1",242572.292538091,9065764.1479877
"1",242578.404618037,9065767.79699066
"1",242583.057096802,9065771.62844376
"1",243848.713771083,9067018.67520298
"1",243855.281976398,9067017.48927702
"1",243861.029156049,9067015.02620003
"1",244189.120134069,9067562.10296777
"1",244397.250140006,9067929.46634008
"1",249038.234545898,9069744.66285909
"1",249074.724575429,9069752.87311573
"1",249195.689023324,9069782.9773901
"1",249216.123439861,9069804.14160722
"1",249530.348206659,9069850.25588204
"1",250761.111290201,9070982.58711092
"1",250787.201661315,9070994.62882067
"1",250792.127815302,9071001.78998896
"1",250797.624126,9071005.91792355
"1",250795.845237061,9071007.30910593
"1",250807.864140537,9071016.20355062
"1",250812.972744672,9071023.04543116
"1",250820.726875947,9071031.34691288
"1",250823.737303383,9071034.26611524
"1",250827.568756484,9071037.36776775
"1",250830.852859142,9071040.56064533
"1",250890.14915713,9071075.68229876
"1",250903.14873015,9071091.50984907
"1",250909.306422633,9071098.44295468
"1",250912.955425586,9071103.09543344
"1",250915.372890043,9071105.28483522
"1",250917.972804647,9071108.43210026
"1",250936.445882097,9071121.75096104
"1",250940.68784803,9071119.01420883
"1",250946.115739923,9071128.36477889
"1",250959.845113534,9071145.4238677
"1",250953.231295681,9071151.76401033
"1",250948.715654527,9071156.64455178
"1",250953.09445807,9071176.07549251
"1",250959.75388846,9071195.00469533
"1",250972.479786259,9071195.41520816
"1",250977.679615467,9071212.10939667
"1",250998.205257078,9071232.36136306
"1",251049.656198717,9071257.67632104
"1",251060.603207576,9071250.42392768
"1",251083.010366335,9071283.77809529
"1",251086.465516006,9071287.6779672
"1",251095.257332496,9071295.16982639
"1",251115.782974107,9071310.76931401
"1",251128.782547128,9071326.30038284
