"","E","N","agua_10","esg_10","lixo_10","palfac_10","rnmpr_10","v7_10,v21_10","v22_10","v3_10","v4_10","v5_10","v1_10","v8_10","uso_10","NA"
"205",216445.294558953,9040281.71597148,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"206",216522.227704552,9040253.01048158,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"207",216522.470971416,9040260.24767077,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"208",216524.660373188,9040266.57260922,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"209",216525.998340938,9040273.50571483,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"210",216526.302424517,9040279.46575299,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"211",216528.370192857,9040287.67600963,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"212",216530.25551105,9040300.38670326,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"213",216445.78109268,9040303.36672233,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"214",216452.349297996,9040319.05743503,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"215",216452.470931428,9040326.11217408,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"216",216453.930532609,9040333.16691312,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"217",216454.173799473,9040338.88368442,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"218",216450.646429951,9040349.58742641,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"219",216452.470931428,9040358.3450335,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"220",216508.787210341,9040516.8333951,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"221",216532.748996401,9040684.74834767,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"222",216545.885407033,9040719.77877602,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"223",216647.570955999,9040652.63712168,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"224",216589.673442472,9040732.48946964,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"225",216679.910244655,9040711.02116894,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"226",216681.734746131,9040691.98553687,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"227",216676.686958714,9040675.01767314,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"228",216671.031004137,9040673.13235495,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"229",216685.201298936,9040747.20711488,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"230",216686.417633254,9040751.58591843,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"231",216691.039703661,9040761.92476013,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"232",216698.459342998,9040775.18280419,1,1,1,1,1,1,1,1,1,1,1,1,1,21
"233",216704.905914881,9040952.28108082,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"234",216723.029296212,9040973.08039765,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"235",216730.570568981,9040980.13513669,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"236",216734.219571933,9040983.29760592,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"237",216738.355108613,9040989.50091094,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"238",216740.088385016,9040995.61299088,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"239",216736.439382063,9040997.86320937,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"240",216744.89290557,9041002.91099679,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"241",216749.150075681,9041008.6885848,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"242",216753.103162213,9041016.16904085,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"243",216757.360332325,9041023.2845966,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"244",216761.799952584,9041031.3124031,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"245",216769.82775908,9041046.6382155,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"246",216843.659252154,9041017.68945874,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"247",216778.038015723,9041063.91016281,1,1,1,1,1,1,1,1,1,1,1,1,1,24
"248",216781.078851517,9041072.3028696,1,1,1,1,1,1,1,1,1,1,1,1,1,24
